City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
645,Sur,OM,79.23,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
647,Isla Mujeres,MX,86.0,broken clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
648,Gorontalo,ID,74.08,light rain,0.5412,123.0595,Maqna Hotel by Prasanthi
650,Antofagasta,CL,73.0,scattered clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
651,Aquiraz,BR,80.6,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
655,Puerto Escondido,MX,84.2,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
656,Juba,SS,78.06,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
658,Petapa,GT,80.6,broken clouds,14.5028,-90.5517,La Visión del Espíritu Santo
661,Holetown,BB,80.6,few clouds,13.1867,-59.6381,The Palms Resort
662,Sao Vicente,BR,84.0,overcast clouds,-23.9631,-46.3919,Hotel Chácara do Mosteiro
663,Salina Cruz,MX,85.51,clear sky,16.1667,-95.2,Amerik HOTEL
664,Kantunilkin,MX,86.0,broken clouds,21.0917,-87.45,Posada Paraiso
667,Negombo,LK,77.0,few clouds,7.2083,79.8358,Hotel Sunset Beach
668,Zwedru,LR,75.72,scattered clouds,6.0667,-8.1281,Elijah Worjloh
669,Madras,IN,80.6,few clouds,13.0878,80.2785,City home
672,Mayumba,GA,78.96,overcast clouds,-3.432,10.6554,LIKWALE LODGE
673,Port Shepstone,ZA,70.16,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
676,Vargem Grande,BR,74.34,heavy intensity rain,-3.5431,-43.9158,Pousada Thalajuy
677,Palmares Do Sul,BR,77.76,light rain,-30.2578,-50.5097,Restaurante e Pensão Lopes
680,Laguna,US,71.01,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
681,Toribio,CO,84.2,scattered clouds,2.9548,-76.2684,Casa de Huespedes Toribio
682,Bahir Dar,ET,72.54,clear sky,11.5936,37.3908,"Delano Hotel, Bahir Dar"
687,San Patricio,US,81.0,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
688,Imaculada,BR,75.42,broken clouds,-7.3897,-37.5092,kasa de karolll
692,Alugan,PH,79.07,overcast clouds,12.2188,125.4808,JM Lodge
694,Metro,ID,74.39,overcast clouds,-5.1131,105.3067,Hotel Familie2
