City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Foz,ES,43.5692,-7.2544,51.01,79,83,1.99,broken clouds
317,Mackay,AU,-21.15,149.2,71.6,94,40,1.14,scattered clouds
318,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,80.69,88,49,3.49,scattered clouds
319,Buraydah,SA,26.326,43.975,77.0,29,0,5.75,clear sky
320,Champerico,GT,14.3,-91.9167,91.4,62,40,9.22,scattered clouds
321,Forrest City,US,35.0081,-90.7898,68.0,49,1,4.61,clear sky
322,Malakal,SS,9.5334,31.6605,94.5,19,98,4.18,overcast clouds
323,Adrar,MR,20.5022,-10.0711,78.22,7,0,10.78,clear sky
324,Agirish,RU,61.9247,63.0231,26.92,94,14,9.28,few clouds
325,Alvik,SE,60.7477,14.8746,44.01,93,90,6.91,overcast clouds
326,Pasni,PK,25.2631,63.471,76.03,60,46,9.31,scattered clouds
327,Eagle,US,43.6954,-116.354,54.0,37,75,11.5,broken clouds
328,Bambanglipuro,ID,-7.95,110.2833,76.69,89,69,2.33,broken clouds
329,Kassala,SD,15.451,36.4,78.94,50,10,12.73,clear sky
330,Fauske,NO,67.2588,15.3918,44.6,53,75,10.36,broken clouds
331,North Branch,US,45.5113,-92.9802,43.0,70,100,1.99,overcast clouds
332,Awbari,LY,26.5921,12.7805,57.74,32,0,7.65,clear sky
333,Miraflores,MX,19.2167,-98.8083,80.6,11,20,5.75,few clouds
334,Antalaha,MG,-14.9003,50.2788,77.04,90,100,3.38,light rain
335,Jalu,LY,29.0331,21.5482,55.94,42,0,11.88,clear sky
336,Port Said,EG,31.2565,32.2841,57.2,62,40,20.71,scattered clouds
337,Jinka,ET,5.65,36.65,71.24,29,86,1.48,overcast clouds
338,Atambua,ID,-9.1061,124.8925,73.11,89,100,3.69,overcast clouds
339,Safaga,EG,26.7292,33.9365,64.4,34,0,20.71,clear sky
340,Chokurdakh,RU,70.6333,147.9167,-30.57,100,80,4.65,broken clouds
341,Nara,JP,34.6851,135.8049,46.0,87,0,3.44,clear sky
342,Kapoeta,SS,4.7717,33.5903,86.38,25,70,3.94,broken clouds
343,General Pico,AR,-35.6566,-63.7568,54.52,91,100,16.04,overcast clouds
344,Maceio,BR,-9.6658,-35.7353,77.0,88,75,5.75,broken clouds
